epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6571.64,1.98877,1.24883,1.30691,0.86162,0.74293,0.82327,0.34796,2.05238,1.14315,1.46286,0.00307,0.00307,0.00307
44,6723.9,1.9839,1.23518,1.30547,0.87746,0.73951,0.82285,0.34743,2.06572,1.14441,1.46639,0.002905,0.002905,0.002905
45,6876.52,1.97277,1.20848,1.30201,0.87638,0.74672,0.82806,0.34851,2.06489,1.129,1.46555,0.00274,0.00274,0.00274
46,7028.25,1.96409,1.18138,1.29494,0.87905,0.75568,0.83367,0.35564,2.05707,1.11353,1.46382,0.002575,0.002575,0.002575
47,7179.77,1.95033,1.1777,1.29904,0.88223,0.75568,0.83646,0.35976,2.03639,1.10099,1.45718,0.00241,0.00241,0.00241
48,7330.89,1.94272,1.16432,1.29054,0.87676,0.76181,0.84201,0.35969,2.03134,1.08784,1.45321,0.002245,0.002245,0.002245
49,7482.12,1.92717,1.15304,1.27741,0.87822,0.76907,0.84885,0.36569,2.03016,1.08574,1.45202,0.00208,0.00208,0.00208
50,7633.6,1.91947,1.13518,1.27857,0.88369,0.76879,0.84869,0.36471,2.02451,1.07317,1.45044,0.001915,0.001915,0.001915
51,7786.51,1.88456,1.05032,1.35849,0.88481,0.77448,0.85207,0.36532,2.02891,1.0567,1.45266,0.00175,0.00175,0.00175
52,7938.24,1.86109,1.00561,1.34654,0.8704,0.79327,0.86062,0.37172,2.02967,1.03956,1.45188,0.001585,0.001585,0.001585
53,8089.29,1.83589,0.9828,1.34015,0.88656,0.79021,0.86569,0.37564,2.02713,1.01976,1.45184,0.00142,0.00142,0.00142
54,8241.05,1.81825,0.96528,1.3261,0.88827,0.80266,0.87437,0.37317,2.02694,1.00792,1.44879,0.001255,0.001255,0.001255
55,8393.12,1.8074,0.95216,1.3187,0.88724,0.80157,0.87045,0.3769,2.01524,1.0085,1.44485,0.00109,0.00109,0.00109
56,8544.77,1.80058,0.9367,1.32046,0.89924,0.79961,0.86893,0.3747,2.01314,1.00061,1.442,0.000925,0.000925,0.000925
57,8696.12,1.77483,0.91678,1.30944,0.89135,0.80316,0.86946,0.37546,2.01954,0.99542,1.44745,0.00076,0.00076,0.00076
58,8848.67,1.76711,0.89907,1.29993,0.90221,0.79836,0.87269,0.37778,2.01684,0.98991,1.44686,0.000595,0.000595,0.000595
59,9000.57,1.75173,0.88806,1.29615,0.90123,0.80157,0.87269,0.37996,2.01541,0.98318,1.44609,0.00043,0.00043,0.00043
60,9152.26,1.74204,0.87915,1.29205,0.89939,0.80594,0.87602,0.38119,2.01399,0.97903,1.44694,0.000265,0.000265,0.000265
